dataset,attack,alpha,module,n_seeds,DR_mean,DR_std,FPR_mean,FPR_std
fashion-mnist,minmax,0.25,Final,3,0.43427951614970256,0.031651959998289625,0.11907632671474065,0.024186814920469722
fashion-mnist,minmax,0.5,L1,3,0.0,0.0,0.013897325792487083,0.0006739711358004636
fashion-mnist,minmax,0.5,L2,3,0.4101162403410605,0.05789124387721839,0.014874842899036449,0.0023591357087275615
fashion-mnist,minmax,0.5,Final,3,0.4101162403410605,0.05789124387721839,0.014874842899036449,0.0023591357087275615
fashion-mnist,minmax,1.0,L1,3,0.005819669167028289,0.003981135922227542,0.021738121940608406,0.002244787245959093
fashion-mnist,minmax,1.0,L2,3,0.564301569097459,0.017056535161188775,0.021738121940608406,0.002244787245959093
fashion-mnist,minmax,1.0,Final,3,0.564301569097459,0.017056535161188775,0.021738121940608406,0.002244787245959093
fashion-mnist,none,0.5,L1,3,,0.0,0.0038194444444444448,0.0021684020827772215
fashion-mnist,none,0.5,L2,3,,0.0,0.012152777777777776,0.000601406530405861
fashion-mnist,none,0.5,Final,3,,0.0,0.012152777777777776,0.000601406530405861
fashion-mnist,none,1.0,L1,3,,0.0,0.01875,0.004773516348912334
fashion-mnist,none,1.0,L2,3,,0.0,0.029861111111111113,0.004209845712841023
fashion-mnist,none,1.0,Final,3,,0.0,0.029861111111111113,0.004209845712841023
fashion-mnist,on_off,0.1,L1,3,0.008099075040620957,0.0052159556363799734,0.06993564160289205,0.004105586291620282
fashion-mnist,on_off,0.1,L2,3,0.26589719634079456,0.026154651274194855,0.10221277619750357,0.004315732429424386
fashion-mnist,on_off,0.1,Final,3,0.26589719634079456,0.026154651274194855,0.10221277619750357,0.004315732429424386
fashion-mnist,on_off,0.25,L1,3,0.025023310023310024,0.004055994292752142,0.06819879352031051,0.006583960546149099
fashion-mnist,on_off,0.25,L2,3,0.2829020979020979,0.009684935995222235,0.06917997136691754,0.007175976926432793
fashion-mnist,on_off,0.25,Final,3,0.2829020979020979,0.009684935995222235,0.06917997136691754,0.007175976926432793
fashion-mnist,on_off,0.5,L1,3,0.0,0.0,0.006900375253994728,0.0036453905289094376
fashion-mnist,on_off,0.5,L2,3,0.2074331676634333,0.014696748484860906,0.018760861032298754,0.003951634514275694
fashion-mnist,on_off,0.5,Final,3,0.2074331676634333,0.014696748484860906,0.018760861032298754,0.003951634514275694
fashion-mnist,on_off,1.0,L1,3,0.021068418501071995,0.010662140361152532,0.015318610929613577,0.002366062270754246
fashion-mnist,on_off,1.0,L2,3,0.2198119520296489,0.025326978541353455,0.025681947859513776,0.003107474721625416
fashion-mnist,on_off,1.0,Final,3,0.2198119520296489,0.025326978541353455,0.025681947859513776,0.003107474721625416
fashion-mnist,sign_flip,0.1,L1,3,1.0,0.0,0.0029690380998377494,0.001510352337133679
fashion-mnist,sign_flip,0.1,L2,3,1.0,0.0,0.02816334756632451,0.007072026740298744
fashion-mnist,sign_flip,0.1,Final,3,1.0,0.0,0.02816334756632451,0.007072026740298744
fashion-mnist,sign_flip,0.25,L1,3,1.0,0.0,0.008401963850951377,0.0033038600951803983
fashion-mnist,sign_flip,0.25,L2,3,1.0,0.0,0.06353078894428786,0.006048022076365157
fashion-mnist,sign_flip,0.25,Final,3,1.0,0.0,0.06353078894428786,0.006048022076365157
fashion-mnist,sign_flip,0.5,L1,3,1.0,0.0,0.0,0.0
fashion-mnist,sign_flip,0.5,L2,3,1.0,0.0,0.0,0.0
fashion-mnist,sign_flip,0.5,Final,3,1.0,0.0,0.0,0.0
fashion-mnist,sign_flip,1.0,L1,3,1.0,0.0,0.0,0.0
fashion-mnist,sign_flip,1.0,L2,3,1.0,0.0,0.006429319957082017,0.003696952891121732
fashion-mnist,sign_flip,1.0,Final,3,1.0,0.0,0.006429319957082017,0.003696952891121732
fashion-mnist,slow_poison,0.1,L1,3,0.0,0.0,0.0748626820782899,0.003713820517234236
fashion-mnist,slow_poison,0.1,L2,3,0.7810405425024802,0.03260209873521688,0.11057412927670018,0.009210962565493053
fashion-mnist,slow_poison,0.1,Final,3,0.7810405425024802,0.03260209873521688,0.11057412927670018,0.009210962565493053
fashion-mnist,slow_poison,0.25,L1,3,0.0,0.0,0.07266247078716022,0.009037492359162357
fashion-mnist,slow_poison,0.25,L2,3,0.7479115322757934,0.026390628753302354,0.07364522301482851,0.009796065865613953
fashion-mnist,slow_poison,0.25,Final,3,0.7479115322757934,0.026390628753302354,0.07364522301482851,0.009796065865613953
fashion-mnist,slow_poison,0.5,L1,3,0.0,0.0,0.002020215891500369,0.0023189489132406523
fashion-mnist,slow_poison,0.5,L2,3,0.6960226107512929,0.025424352335905676,0.0035182742548335705,0.0023413510915701015
fashion-mnist,slow_poison,0.5,Final,3,0.6960226107512929,0.025424352335905676,0.0035182742548335705,0.0023413510915701015
fashion-mnist,slow_poison,1.0,L1,3,0.0,0.0,0.01189200629654616,0.0024744564892447947
fashion-mnist,slow_poison,1.0,L2,3,0.6930126002290952,0.022880852640822704,0.014370058776582845,0.0036522882426498387
fashion-mnist,slow_poison,1.0,Final,3,0.6930126002290952,0.022880852640822704,0.014370058776582845,0.0036522882426498387
